id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
F002,faq,Preciso usar Bilhete Único para andar gratuitamente aos domingos?,,,,,,,,faq,Preciso usar o Bilhete Único?,Sim. Os passageiros devem usar o Bilhete Único. Ao encostar o Bilhete Único no validador a catraca é liberada mas a tarifa não é cobrada.,GRATUIDADE AOS DOMINGOS
F006,faq,"No Aquático SP, os barcos são seguros para quem não sabe nadar?",,,,,,,,faq,"Eu não sei nadar, os barcos são seguros?","Sim, os barcos são vistoriados e aprovadas pela Marinha do Brasil e, em caso de emergência, contam com coletes e botes salva-vidas.",AQUÁTICO SP
F007,faq,Os barcos do Aquático SP têm espaço para levar bicicleta?,,,,,,,,faq,Os barcos têm espaço para transporte de bicicleta?,O Aquático-SP conta com barcos com espaço exclusivo para o transporte de bicicletas.,AQUÁTICO SP
F010,faq,Posso levar animal de estimação no Aquático SP?,,,,,,,,faq,Posso levar meu animal de estimação?,"Sim. Animais de estimação, de pequeno porte, em caixas apropriadas, podem ser transportados no colo - Lei 16.125/2015",AQUÁTICO SP
F011,faq,O que é o Serviço de Atendimento Especial Atende+ da SPTrans?,,,,,,,,faq,O que é o Serviço de Atendimento Especial Atende+?,"É uma modalidade de transporte que promove a inclusão social de forma gratuita, porta a porta, destinada às pessoas com autismo, surdocegueira ou deficiência física severa. Os veículos são adaptados e equipados com plataforma de elevação para embarque e desembarque. Horário do serviço: das 7h às 20h, de segunda-feira a domingo. O Serviço é regido pela Lei 16.337 de 30/12/2015.",ATENDE+
F012,faq,A quem se destina o Serviço Atende+ da SPTrans?,,,,,,,,faq,A quem se destina o Serviço Atende+?,"Destina-se, exclusivamente, às pessoas com autismo, surdocegueira ou deficiência física e mobilidade altamente reduzida, as quais não apresentem condições de mobilidade e acessibilidade autônoma aos meios de transportes convencionais ou que manifestem grandes restrições ao acesso e uso de equipamentos urbanos.",ATENDE+
F014,faq,Autistas e surdocegos precisam de acompanhante no Serviço Atende+?,,,,,,,,faq,Autistas e surdocegos precisam de acompanhantes?,Essas pessoas precisam obrigatoriamente de acompanhantes em suas viagens.,ATENDE+
F016,faq,O que é o Bilhete do Professor da SPTrans?,,,,,,,,faq,O que é o Bilhete do Professor?,"É um cartão para o acesso ao professor que que possui os requisitos necessários ao benefício do desconto de até 50% nas passagens do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ressaltamos que o professor não tem direito as cotas para uso nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, nem a gratuidade.",BILHETE DO PROFESSOR
F017,faq,Como solicitar o Bilhete do Professor da SPTrans?,,,,,,,,faq,Como faço para solicitar o Bilhete do Professor?,"Informe a Unidade de Ensino que deseja utilizar o Bilhete do Professor no ano vigente;


Aguarde o envio dos seus dados à SPTrans pela Unidade de Ensino. Você pode acompanhar essa etapa  através do site sptrans.com.br/professor;


Basta iniciar o processo de solicitação e digitar RG e CPF para conferir se você já pode emitir o Bilhete Único de Professor;


Pague o valor correspondente a 5 tarifas de ônibus vigentes, por PIX, cartão de crédito ou boleto;


Após a conclusão dessas etapas o cartão será encaminhado para a sua unidade de ensino, em até 20 (vinte) dias úteis a partir da confirmação de pagamento do pedido.",BILHETE DO PROFESSOR
F019,faq,"Depois de comprar cotas do Bilhete do Professor, posso mudar de opção ou transferir o saldo?",,,,,,,,faq,Depois de comprada a cota posso mudar de opção e transferir o saldo?,O Bilhete do Professor é exclusivo para cotas do Sistema Estadual de Transporte Público Metropolitano Metroferroviário (metrô/trem). Ele não é aceito nos ônibus do Sistema de Transporte Coletivo Público de Passageiros na Cidade de São Paulo.,BILHETE DO PROFESSOR
F020,faq,O Bilhete Único é personalizado e de uso pessoal?,,,,,,,,faq,O Bilhete Único será personalizado?,"Parte das informações apresentadas no cadastrado será impressa no Bilhete Único como o nome, CPF e nº do cartão. O cartão será de uso pessoal e intransferível.",BILHETE ÚNICO
F021,faq,Quem pode adquirir e usar o Bilhete Único comum da SPTrans?,,,,,,,,faq,Quem pode adquirir e usar o Bilhete Único?,Qualquer pessoa acima de 6 anos que tenha RG e CPF próprios. O cartão é de uso pessoal e intransferível.,BILHETE ÚNICO
F022,faq,Como faço para adquirir um Bilhete Único da SPTrans?,,,,,,,,faq,Como faço para adquirir um Bilhete Único?,"Faça o cadastro do Bilhete Único pelo site da SPTrans. Após preencher o cadastro, sem deixar pendências, retire o cartão em um Posto de Atendimento da SPTrans (os Postos de Atendimento localizados nos Terminais da SPTrans funcionam, diariamente, das 06h às 22h). Apresente um documento de identidade em condições que permitam a identificação do solicitante, de preferência com menos de 10 anos de emissão, para retirar o cartão.",BILHETE ÚNICO
F023,faq,É permitido ter mais de um Bilhete Único?,,,,,,,,faq,Posso adquirir mais de um Bilhete Único?,É permitido apenas um cartão por usuário.,BILHETE ÚNICO
F024,faq,Quanto custa a segunda via do Bilhete Único comum?,,,,,,,,faq,Quanto custa a 2ª via do Bilhete Único?,O custo para a emissão da 2ª via do Bilhete Único é de 7 tarifas de ônibus vigentes e deve ser paga em dinheiro.,BILHETE ÚNICO
F025,faq,Qual é a ordem de desconto dos créditos na catraca do Bilhete Único?,,,,,,,,faq,Qual a ordem de desconto na catraca?,"No momento do pagamento da tarifa o validador efetua os descontos na seguinte ordem:
1º - crédito do tipo Vale-Transporte;
2º - crédito do tipo Estudante (1/2 tarifa ou gratuidade); e
3º - crédito do tipo Comum (créditos de tempo e depois créditos em dinheiro).
Se todas as carteiras estiverem vazias, ou com valor inferior a 1 tarifa vigente, o usuário pagará o valor integral da tarifa em dinheiro.",BILHETE ÚNICO
F026,faq,Quais são as regras de uso dos créditos do tipo Comum no Bilhete Único?,,,,,,,,faq,Quais são as regras de utilização para créditos do tipo Comum?,"• 4 embarques em 3 horas, nos ônibus do Serviço de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, com o pagamento de 1 tarifa vigente;
• 4 embarques em 3 horas , sendo um embarque no Sistema Estadual de Transporte Metropolitano Metroferroviário, nas duas primeiras horas e os demais embarques em ônibus diferentes, do Serviço de Transporte Coletivo Público de Passageiros na Cidade de São Paulo, com o pagamento de 1 tarifa integrada vigente;
•  Aos domingos, viajar nos ônibus municipais da cidade de São Paulo é gratuito para todos os passageiros da 0h às 23h59. A gratuidade aos domingos permite que o passageiro realize quantas viagens precisar, da 0h às 23h59. Não há desconto na integração com os trilhos aos domingos, já que os ônibus são gratuitos. Essa gratuidade também vale no Natal (25/12), Ano Novo (1/1) e Aniversário de São Paulo (25/1).",BILHETE ÚNICO
F027,faq,O que significa a mensagem de bloqueio temporário no Bilhete Único?,,,,,,,,faq,"O que significa a mensagem de ""bloqueio temporário"" do Bilhete Único?","A reutilização do mesmo tipo de crédito (Estudante, Professor ou Vale-Transporte) no mesmo ônibus ou Estações de metrô/trem deve obedecer ao intervalo mínimo de 30 minutos. Ao tentar fazer novo uso em um intervalo inferior ao estabelecido pela SPTrans, o validador buscará outros tipos de créditos, no mesmo cartão, para cobrar a passagem. Caso não existam créditos diferentes disponíveis será exibida a mensagem ""bloqueio temporário"" até que o intervalo mínimo seja respeitado.",BILHETE ÚNICO
F028,faq,Como funciona a solicitação do Bilhete Único Comum com entrega em casa?,,,,,,,,faq,Como funciona o serviço de solicitação do Bilhete Único Comum com entrega em casa?,"O(a) usuário(a) deve acessar o Site de Atendimento da SPTrans (sptrans.com.br/atendimento), clicar no serviço “Comum/VT” e, em seguida, selecionar a opção “Comum - Receba seu cartão em casa”. Após isso, basta seguir as etapas indicadas para concluir o pedido.",BILHETE ÚNICO COMUM EM CASA
F029,faq,"Após o pagamento do boleto de Vale-Transporte, em quanto tempo a recarga fica disponível?",,,,,,,,faq,Minha empresa já fez o pedido do Vale-Transporte. Por que a recarga ainda não está disponível?,"Após o pagamento do boleto, é preciso aguardar 2 dias úteis para a liquidação financeira e disponibilização para recarga.",BILHETE ÚNICO VALE-TRANSPORTE
F030,faq,"Se não conseguirem entregar o Bilhete Único Comum em Casa, onde retiro o cartão e há reembolso?",,,,,,,,faq,"Se não conseguirem fazer a entrega, onde eu pego o cartão? Recebo reembolso se não me entregarem?","Caso a empresa responsável não consiga realizar a entrega do cartão após 3 (três) tentativas, o Bilhete Único será encaminhado ao Posto Central (Rua Boa Vista, 274 – Centro – Mezanino).
Todas essas informações estarão disponíveis para o(a) usuário(a) por meio do Site de Atendimento.
Não haverá reembolso, uma vez que as tentativas de entrega tiverem sido devidamente realizadas.",BILHETE ÚNICO COMUM EM CASA
F032,faq,O que é o Bilhete Único Mamãe Tarifa Zero?,,,,,,,,faq,O que é?,"É um programa que concede transporte gratuito nos ônibus da SPTrans para mães, pais e responsáveis (padrasto, madrasta, avó(ô), tia(o) e outros) por crianças, de zero a 4 anos, matriculadas nas creches públicas de São Paulo, utilizando o Bilhete Único Mamãe Tarifa Zero, para as viagens de ida e volta.",BILHETE ÚNICO MAMÃE TARIFA ZERO
F033,faq,Quem tem direito ao Bilhete Único Mãe Paulistana?,,,,,,,,faq,Quem tem direito ao Bilhete Único Mãe Paulistana?,"Somente as gestantes cadastradas nas Unidades Básicas de Saúde - UBS e beneficiadas pelo Programa de Proteção da Saúde da Gestante e do Recém-Nascido.  
 
Nota: Esse tipo de cartão não proporciona isenção tarifária. As passagens são custeadas pela Secretaria Municipal da Saúde.",BILHETE ÚNICO MÃE PAULISTANA
F034,faq,O Bilhete Único Mamãe Tarifa Zero pode ser usado no metrô ou trem?,,,,,,,,faq,O Bilhete Único Mamãe Tarifa Zero poderá ser usado no metrô ou trem?,"Os créditos de gratuidade do Bilhete Único Mamãe Tarifa Zero são válidos apenas para uso nos ônibus da SPTrans. 
Para utilizar o metrô ou trem, é necessário carregar o cartão com créditos do tipo ""Comum"" (dinheiro ou cotas de tempo).",BILHETE ÚNICO MAMÃE TARIFA ZERO
F035,faq,Com o Bilhete Único Mamãe Tarifa Zero é possível fazer integrações entre ônibus?,,,,,,,,faq,Com o Bilhete Único Mamãe Tarifa Zero é possível realizar integrações?,"Sim, com o bilhete em mãos e disponível para uso, será possível realizar até 4 (quatro) embarques em ônibus dentro de um período de até 2 horas.",BILHETE ÚNICO MAMÃE TARIFA ZERO
F036,faq,O que é o Bilhete Único da Gestante da SPTrans?,,,,,,,,faq,O que é o Bilhete Único da Gestante?,"É um cartão para mulheres grávidas, a partir do 5º (quinto) mês de gestação, que permite o desembarque pela porta da frente dos ônibus da cidade de São Paulo, após o pagamento da tarifa com créditos do tipo comum.",BILHETE ÚNICO DA GESTANTE
F037,faq,Quem tem direito ao Bilhete Único da Gestante?,,,,,,,,faq,Quem tem direito ao Bilhete Único da Gestante?,Mulheres grávidas a partir do 5º (quinto) mês de gestação.,BILHETE ÚNICO DA GESTANTE
F038,faq,Qual é o prazo de validade do Bilhete Único da Gestante?,,,,,,,,faq,Qual o prazo de validade do Bilhete Único da Gestante?,O prazo é do 5ª ao 9ª mês de gestação.,BILHETE ÚNICO DA GESTANTE
F039,faq,Quando posso solicitar ou revalidar o Bilhete Único de Estudante para 2026?,,,,,,,,faq,Quando posso solicitar ou revalidar meu Bilhete Único de Estudante para o ano letivo de 2026?,A solicitação ou revalidação do benefício está disponível desde 6 de janeiro de 2026 pelo site sptrans.dne.com.br.,BILHETE ÚNICO DE ESTUDANTE
