id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
H001,horarios,Quais os horários da linha 6455-10 no dia útil?,6455-10,,,,,0,,consultar_horarios,,,
H002,horarios,Me informe a tabela de horários da linha 6455-10 no sábado.,6455-10,,,,,1,,consultar_horarios,,,
H003,horarios,Qual é o quadro de horários da linha 6455-10 no domingo?,6455-10,,,,,2,,consultar_horarios,,,
H004,horarios,Preciso dos horários da linha 875A-10 no dia útil.,875A-10,,,,,0,,consultar_horarios,,,
H005,horarios,A linha 875A-10 tem quais horários no sábado?,875A-10,,,,,1,,consultar_horarios,,,
H006,horarios,Quais os horários da linha 875A-10 no domingo?,875A-10,,,,,2,,consultar_horarios,,,
H007,horarios,Me informe a tabela de horários da linha 8000-10 no dia útil.,8000-10,,,,,0,,consultar_horarios,,,
H008,horarios,Qual é o quadro de horários da linha 8000-10 no sábado?,8000-10,,,,,1,,consultar_horarios,,,
H009,horarios,Preciso dos horários da linha 8000-10 no domingo.,8000-10,,,,,2,,consultar_horarios,,,
H010,horarios,A linha 715M-10 tem quais horários no dia útil?,715M-10,,,,,0,,consultar_horarios,,,
H011,horarios,Quais os horários da linha 715M-10 no sábado?,715M-10,,,,,1,,consultar_horarios,,,
H012,horarios,Me informe a tabela de horários da linha 715M-10 no domingo.,715M-10,,,,,2,,consultar_horarios,,,
H013,horarios,Qual é o quadro de horários da linha 709M-10 no dia útil?,709M-10,,,,,0,,consultar_horarios,,,
H014,horarios,Preciso dos horários da linha 709M-10 no sábado.,709M-10,,,,,1,,consultar_horarios,,,
H015,horarios,A linha 709M-10 tem quais horários no domingo?,709M-10,,,,,2,,consultar_horarios,,,
H016,horarios,Quais os horários da linha 857R-10 no dia útil?,857R-10,,,,,0,,consultar_horarios,,,
H017,horarios,Me informe a tabela de horários da linha 857R-10 no sábado.,857R-10,,,,,1,,consultar_horarios,,,
H018,horarios,Qual é o quadro de horários da linha 857R-10 no domingo?,857R-10,,,,,2,,consultar_horarios,,,
H019,horarios,Preciso dos horários da linha 875C-10 no dia útil.,875C-10,,,,,0,,consultar_horarios,,,
H020,horarios,A linha 875C-10 tem quais horários no sábado?,875C-10,,,,,1,,consultar_horarios,,,
H021,horarios,Quais os horários da linha 875C-10 no domingo?,875C-10,,,,,2,,consultar_horarios,,,
H022,horarios,Me informe a tabela de horários da linha 675K-10 no dia útil.,675K-10,,,,,0,,consultar_horarios,,,
H023,horarios,Qual é o quadro de horários da linha 675K-10 no sábado?,675K-10,,,,,1,,consultar_horarios,,,
H024,horarios,Preciso dos horários da linha 675K-10 no domingo.,675K-10,,,,,2,,consultar_horarios,,,
H025,horarios,A linha 675X-10 tem quais horários no dia útil?,675X-10,,,,,0,,consultar_horarios,,,
H026,horarios,Quais os horários da linha 675X-10 no sábado?,675X-10,,,,,1,,consultar_horarios,,,
H027,horarios,Me informe a tabela de horários da linha 675X-10 no domingo.,675X-10,,,,,2,,consultar_horarios,,,
H028,horarios,Qual é o quadro de horários da linha 669A-10 no dia útil?,669A-10,,,,,0,,consultar_horarios,,,
H029,horarios,Preciso dos horários da linha 669A-10 no sábado.,669A-10,,,,,1,,consultar_horarios,,,
H030,horarios,A linha 669A-10 tem quais horários no domingo?,669A-10,,,,,2,,consultar_horarios,,,
H031,horarios,Quais os horários da linha 637A-10 no dia útil?,637A-10,,,,,0,,consultar_horarios,,,
H032,horarios,Me informe a tabela de horários da linha 637A-10 no sábado.,637A-10,,,,,1,,consultar_horarios,,,
H033,horarios,Qual é o quadro de horários da linha 637A-10 no domingo?,637A-10,,,,,2,,consultar_horarios,,,
H034,horarios,Preciso dos horários da linha 637J-10 no dia útil.,637J-10,,,,,0,,consultar_horarios,,,
H035,horarios,A linha 6450-10 tem quais horários no dia útil?,6450-10,,,,,0,,consultar_horarios,,,
H036,horarios,Quais os horários da linha 6450-10 no sábado?,6450-10,,,,,1,,consultar_horarios,,,
H037,horarios,Me informe a tabela de horários da linha 6450-10 no domingo.,6450-10,,,,,2,,consultar_horarios,,,
H038,horarios,Qual é o quadro de horários da linha 6451-10 no dia útil?,6451-10,,,,,0,,consultar_horarios,,,
H039,horarios,Preciso dos horários da linha 6451-10 no sábado.,6451-10,,,,,1,,consultar_horarios,,,
H040,horarios,A linha 6451-10 tem quais horários no domingo?,6451-10,,,,,2,,consultar_horarios,,,
H041,horarios,Quais os horários da linha 6500-10 no dia útil?,6500-10,,,,,0,,consultar_horarios,,,
H042,horarios,Me informe a tabela de horários da linha 6500-10 no sábado.,6500-10,,,,,1,,consultar_horarios,,,
H043,horarios,Qual é o quadro de horários da linha 6500-10 no domingo?,6500-10,,,,,2,,consultar_horarios,,,
H044,horarios,Preciso dos horários da linha 6505-10 no dia útil.,6505-10,,,,,0,,consultar_horarios,,,
H045,horarios,A linha 6505-10 tem quais horários no sábado?,6505-10,,,,,1,,consultar_horarios,,,
H046,horarios,Quais os horários da linha 6505-10 no domingo?,6505-10,,,,,2,,consultar_horarios,,,
H047,horarios,Me informe a tabela de horários da linha 695T-10 no dia útil.,695T-10,,,,,0,,consultar_horarios,,,
H048,horarios,Qual é o quadro de horários da linha 695T-10 no sábado?,695T-10,,,,,1,,consultar_horarios,,,
H049,horarios,Preciso dos horários da linha 6960-10 no dia útil.,6960-10,,,,,0,,consultar_horarios,,,
H050,horarios,A linha 6960-10 tem quais horários no sábado?,6960-10,,,,,1,,consultar_horarios,,,
