id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
R001,rota,"Como ir de ônibus do Hospital Campo Limpo até a Avenida Paulista, 900, Bela Vista?",,"Hospital Campo Limpo, São Paulo, SP","Avenida Paulista, 900, Bela Vista, São Paulo, SP",,,,rapida,consultar_rota,,,
R002,rota,"Qual é a rota de ônibus mais rápida da Praça da Sé até a Rua Alvarenga, 1000, no Butantã?",,"Praça da Sé, São Paulo, SP","Rua Alvarenga, 1000, Butantã, São Paulo, SP",,,,rapida,consultar_rota,,,
R003,rota,"Como ir de ônibus, com menos caminhada, do Terminal Parque Dom Pedro II até o Largo da Batata, em Pinheiros?",,"Terminal Parque Dom Pedro II, São Paulo, SP","Largo da Batata, Pinheiros, São Paulo, SP",,,,menos_caminhada,consultar_rota,,,
R004,rota,"Qual rota de ônibus mais rápida sai do MASP, na Avenida Paulista, até o Shopping Morumbi?",,"MASP, Avenida Paulista, São Paulo, SP","Shopping Morumbi, São Paulo, SP",,,,rapida,consultar_rota,,,
R005,rota,Como ir de ônibus do Terminal Bandeira até o Hospital das Clínicas da FMUSP?,,"Terminal Bandeira, São Paulo, SP","Hospital das Clínicas da FMUSP, São Paulo, SP",,,,rapida,consultar_rota,,,
R006,rota,Me mostre a rota de ônibus mais rápida do Terminal Jabaquara até o Terminal Parque Dom Pedro II.,,"Terminal Jabaquara, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R007,rota,"Como ir de ônibus do Terminal Tatuapé até o MASP, na Avenida Paulista?",,"Terminal Tatuapé, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,rapida,consultar_rota,,,
R008,rota,Qual trajeto de ônibus faço do Terminal Santo Amaro até o Portão 3 do Parque Ibirapuera?,,"Terminal Santo Amaro, São Paulo, SP","Portão 3 do Parque Ibirapuera, Avenida Pedro Álvares Cabral, São Paulo, SP",,,,rapida,consultar_rota,,,
R009,rota,"Como chegar de ônibus do Mercado Municipal da Lapa até a Rua Domingos de Morais, 1000, na Vila Mariana?",,"Mercado Municipal da Lapa, São Paulo, SP","Rua Domingos de Morais, 1000, Vila Mariana, São Paulo, SP",,,,rapida,consultar_rota,,,
R010,rota,Qual rota de ônibus faço do Terminal Santo Amaro até o Shopping SP Market?,,"Terminal Santo Amaro, São Paulo, SP","Shopping SP Market, São Paulo, SP",,,,rapida,consultar_rota,,,
R011,rota,Como ir de ônibus do Terminal Capelinha até o Hospital Campo Limpo?,,"Terminal Capelinha, São Paulo, SP","Hospital Campo Limpo, São Paulo, SP",,,,rapida,consultar_rota,,,
R012,rota,Qual rota de ônibus faço do Terminal Grajaú até o Terminal Varginha?,,"Terminal Grajaú, São Paulo, SP","Terminal Varginha, São Paulo, SP",,,,rapida,consultar_rota,,,
R013,rota,Como chegar de ônibus do Terminal Parelheiros até o Terminal Santo Amaro?,,"Terminal Parelheiros, São Paulo, SP","Terminal Santo Amaro, São Paulo, SP",,,,rapida,consultar_rota,,,
R014,rota,"Quero sair do Terminal João Dias e ir de ônibus até o MASP, na Avenida Paulista.",,"Terminal João Dias, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,rapida,consultar_rota,,,
R015,rota,Como ir de ônibus do Terminal João Dias até o Shopping Jardim Sul?,,"Terminal João Dias, São Paulo, SP","Shopping Jardim Sul, São Paulo, SP",,,,rapida,consultar_rota,,,
R016,rota,"Qual caminho de ônibus faço do Terminal Campo Limpo até o Largo da Batata, em Pinheiros?",,"Terminal Campo Limpo, São Paulo, SP","Largo da Batata, Pinheiros, São Paulo, SP",,,,rapida,consultar_rota,,,
R017,rota,Como chegar de ônibus do Terminal Campo Limpo até o Shopping Eldorado?,,"Terminal Campo Limpo, São Paulo, SP","Shopping Eldorado, São Paulo, SP",,,,rapida,consultar_rota,,,
R018,rota,"Quero ir de ônibus do Terminal Capão Redondo até a Avenida Brigadeiro Faria Lima, 3477.",,"Terminal Capão Redondo, São Paulo, SP","Avenida Brigadeiro Faria Lima, 3477, São Paulo, SP",,,,rapida,consultar_rota,,,
R019,rota,Como ir de ônibus do Terminal Jardim Ângela até o Terminal Santo Amaro?,,"Terminal Jardim Ângela, São Paulo, SP","Terminal Santo Amaro, São Paulo, SP",,,,rapida,consultar_rota,,,
R020,rota,Me diga uma rota de ônibus do Terminal Jardim Ângela até o Hospital Campo Limpo.,,"Terminal Jardim Ângela, São Paulo, SP","Hospital Campo Limpo, São Paulo, SP",,,,rapida,consultar_rota,,,
R021,rota,Como chegar de ônibus do Terminal Cidade Tiradentes até o Hospital Santa Marcelina Itaquera?,,"Terminal Cidade Tiradentes, São Paulo, SP","Hospital Santa Marcelina Itaquera, São Paulo, SP",,,,rapida,consultar_rota,,,
R022,rota,"Quero ir de ônibus do Terminal Itaquera até o MASP, na Avenida Paulista.",,"Terminal Itaquera, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,rapida,consultar_rota,,,
R023,rota,Qual rota de ônibus faço do Terminal São Mateus até o Terminal Parque Dom Pedro II?,,"Terminal São Mateus, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R024,rota,Como ir de ônibus do Terminal São Mateus até o Shopping Aricanduva?,,"Terminal São Mateus, São Paulo, SP","Shopping Aricanduva, São Paulo, SP",,,,rapida,consultar_rota,,,
R025,rota,Como chegar de ônibus do Terminal Guaianases até o Terminal Parque Dom Pedro II?,,"Terminal Guaianases, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R026,rota,"Quero ir de ônibus da Avenida São Miguel, 5550, em Ermelino Matarazzo, até o Terminal Penha.",,"Avenida São Miguel, 5550, Ermelino Matarazzo, São Paulo, SP","Terminal Penha, São Paulo, SP",,,,rapida,consultar_rota,,,
R027,rota,"Qual trajeto de ônibus faço do Largo do Rosário, na Penha, até o Terminal Parque Dom Pedro II?",,"Largo do Rosário, Penha, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R028,rota,"Como ir de ônibus da Avenida Waldemar Carlos Pereira, 1700, na Vila Matilde, até o Terminal Aricanduva?",,"Avenida Waldemar Carlos Pereira, 1700, Vila Matilde, São Paulo, SP","Terminal Aricanduva, São Paulo, SP",,,,rapida,consultar_rota,,,
R029,rota,"Me mostre uma rota de ônibus do Terminal Carrão até o MASP, na Avenida Paulista.",,"Terminal Carrão, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,rapida,consultar_rota,,,
R030,rota,Como chegar de ônibus do Shopping Aricanduva até o Terminal Tatuapé?,,"Shopping Aricanduva, São Paulo, SP","Terminal Tatuapé, São Paulo, SP",,,,rapida,consultar_rota,,,
R031,rota,"Como ir de ônibus, com menos caminhada, do Terminal Santana até o MASP, na Avenida Paulista?",,"Terminal Santana, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,menos_caminhada,consultar_rota,,,
R032,rota,"Qual rota de ônibus faço da Praça Centenário da Casa Verde até o Largo da Batata, em Pinheiros?",,"Praça Centenário da Casa Verde, São Paulo, SP","Largo da Batata, Pinheiros, São Paulo, SP",,,,rapida,consultar_rota,,,
