id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
S001,status,"Onde estão os ônibus da linha 6455-10 sentido 1?",6455-10,,,,1,,,status_onibus_tool,,,
S002,status,"Onde estão os ônibus da linha 6455-10 sentido 2?",6455-10,,,,2,,,status_onibus_tool,,,
S003,status,"Mostre o mapa da linha 875A-10 sentido 1.",875A-10,,,,1,,,status_onibus_tool,,,
S004,status,"Mostre o mapa da linha 875A-10 sentido 2.",875A-10,,,,2,,,status_onibus_tool,,,
S005,status,"Quero acompanhar os ônibus da linha 8000-10 sentido 1.",8000-10,,,,1,,,status_onibus_tool,,,
S006,status,"Quero acompanhar os ônibus da linha 8000-10 sentido 2.",8000-10,,,,2,,,status_onibus_tool,,,
S007,status,"Onde vejo a localização dos ônibus da linha 715M-10 sentido 1?",715M-10,,,,1,,,status_onibus_tool,,,
S008,status,"Onde vejo a localização dos ônibus da linha 715M-10 sentido 2?",715M-10,,,,2,,,status_onibus_tool,,,
S009,status,"Abra o status em tempo real da linha 709M-10 sentido 1.",709M-10,,,,1,,,status_onibus_tool,,,
S010,status,"Abra o status em tempo real da linha 709M-10 sentido 2.",709M-10,,,,2,,,status_onibus_tool,,,
S011,status,"Onde estão os veículos da linha 857R-10 sentido 1?",857R-10,,,,1,,,status_onibus_tool,,,
S012,status,"Onde estão os veículos da linha 857R-10 sentido 2?",857R-10,,,,2,,,status_onibus_tool,,,
S013,status,"Mostre o Olho Vivo da linha 875C-10 sentido 1.",875C-10,,,,1,,,status_onibus_tool,,,
S014,status,"Mostre o Olho Vivo da linha 875C-10 sentido 2.",875C-10,,,,2,,,status_onibus_tool,,,
S015,status,"Quero ver os ônibus da linha 675K-10 sentido 1 no mapa.",675K-10,,,,1,,,status_onibus_tool,,,
S016,status,"Quero ver os ônibus da linha 675K-10 sentido 2 no mapa.",675K-10,,,,2,,,status_onibus_tool,,,
S017,status,"Onde estão os ônibus da linha 675X-10 sentido 1?",675X-10,,,,1,,,status_onibus_tool,,,
S018,status,"Onde estão os ônibus da linha 675X-10 sentido 2?",675X-10,,,,2,,,status_onibus_tool,,,
S019,status,"Acompanhe a linha 669A-10 sentido 1 no Olho Vivo.",669A-10,,,,1,,,status_onibus_tool,,,
S020,status,"Acompanhe a linha 669A-10 sentido 2 no Olho Vivo.",669A-10,,,,2,,,status_onibus_tool,,,
S021,status,"Me envie o link do mapa da linha 637A-10 sentido 1.",637A-10,,,,1,,,status_onibus_tool,,,
S022,status,"Me envie o link do mapa da linha 637A-10 sentido 2.",637A-10,,,,2,,,status_onibus_tool,,,
S023,status,"Onde estão os ônibus da linha 637G-10 sentido 1?",637G-10,,,,1,,,status_onibus_tool,,,
S024,status,"Onde estão os ônibus da linha 637G-10 sentido 2?",637G-10,,,,2,,,status_onibus_tool,,,
S025,status,"Mostre a localização da linha 6450-10 sentido 1.",6450-10,,,,1,,,status_onibus_tool,,,
S026,status,"Mostre a localização da linha 6450-10 sentido 2.",6450-10,,,,2,,,status_onibus_tool,,,
S027,status,"Quero acompanhar a linha 6451-10 sentido 1.",6451-10,,,,1,,,status_onibus_tool,,,
S028,status,"Quero acompanhar a linha 6451-10 sentido 2.",6451-10,,,,2,,,status_onibus_tool,,,
S029,status,"Onde vejo os ônibus da linha 6500-10 sentido 1?",6500-10,,,,1,,,status_onibus_tool,,,
S030,status,"Onde vejo os ônibus da linha 6500-10 sentido 2?",6500-10,,,,2,,,status_onibus_tool,,,
S031,status,"Mostre o status da linha 6505-10 sentido 1.",6505-10,,,,1,,,status_onibus_tool,,,
S032,status,"Mostre o status da linha 6505-10 sentido 2.",6505-10,,,,2,,,status_onibus_tool,,,
S033,status,"Abra o mapa dos ônibus da linha 695T-10 sentido 1.",695T-10,,,,1,,,status_onibus_tool,,,
S034,status,"Abra o mapa dos ônibus da linha 695T-10 sentido 2.",695T-10,,,,2,,,status_onibus_tool,,,
S035,status,"Onde estão os ônibus da linha 6960-10 sentido 1?",6960-10,,,,1,,,status_onibus_tool,,,
S036,status,"Onde estão os ônibus da linha 6960-10 sentido 2?",6960-10,,,,2,,,status_onibus_tool,,,
S037,status,"Me mostre a linha 701U-10 sentido 1 no Olho Vivo.",701U-10,,,,1,,,status_onibus_tool,,,
S038,status,"Me mostre a linha 701U-10 sentido 2 no Olho Vivo.",701U-10,,,,2,,,status_onibus_tool,,,
S039,status,"Quero ver o mapa da linha 702U-10 sentido 1.",702U-10,,,,1,,,status_onibus_tool,,,
S040,status,"Quero ver o mapa da linha 702U-10 sentido 2.",702U-10,,,,2,,,status_onibus_tool,,,
S041,status,"Onde estão os ônibus da linha 702C-10 sentido 1?",702C-10,,,,1,,,status_onibus_tool,,,
S042,status,"Onde estão os ônibus da linha 702C-10 sentido 2?",702C-10,,,,2,,,status_onibus_tool,,,
S043,status,"Acompanhe a linha 7245-10 sentido 1 em tempo real.",7245-10,,,,1,,,status_onibus_tool,,,
S044,status,"Acompanhe a linha 7245-10 sentido 2 em tempo real.",7245-10,,,,2,,,status_onibus_tool,,,
S045,status,"Mostre o link do Olho Vivo da linha 775A-10 sentido 1.",775A-10,,,,1,,,status_onibus_tool,,,
S046,status,"Mostre o link do Olho Vivo da linha 775A-10 sentido 2.",775A-10,,,,2,,,status_onibus_tool,,,
S047,status,"Onde estão os ônibus da linha 8001-10 sentido 1?",8001-10,,,,1,,,status_onibus_tool,,,
S048,status,"Onde estão os ônibus da linha 8001-10 sentido 2?",8001-10,,,,2,,,status_onibus_tool,,,
S049,status,"Quero acompanhar os ônibus da linha 857A-10 sentido 1.",857A-10,,,,1,,,status_onibus_tool,,,
S050,status,"Quero acompanhar os ônibus da linha 857A-10 sentido 2.",857A-10,,,,2,,,status_onibus_tool,,,
