id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,atualidade,qoi
R001,rota,"Como ir de ônibus do Hospital Campo Limpo até a Avenida Paulista, 900, Bela Vista?","Para ir de ônibus do Hospital Campo Limpo até a Avenida Paulista, 900, Bela Vista, siga estas instruções:

1. **Caminhada até o Hospital Campo Limpo**: 
   - Distância: 0.1 km
   - Duração: 2 minutos

2. **Ônibus**:
   - Linha: **6451-10 - Terminal Capelinha / Terminal Bandeira via Marginal Pinheiros** 
   - Direção: Terminal Bandeira
   - Ponto de partida: Hospital Campo Limpo 
   - Ponto de chegada: Getúlio Vargas B/C
   - Horário de saída: 8:50 AM
   - Horário de chegada: 9:36 AM
   - Distância: 16.0 km
   - Duração: 46 minutos

3. **Caminhada até a Avenida Paulista, 900**:
   - Distância: 1.0 km
   - Duração: 16 minutos

A duração total da viagem será de aproximadamente 1 hora e 4 minutos. Se precisar de mais alguma informação, fique à vontade para perguntar!",multiagente,11.388,consultar_rota,consultar_rota,,2026-06-30T08:46:55.775453,2026-06-30T08:47:07.168615,rota,,,,,,,2026-06-30T08:46:54.585344,2026-06-30T08:46:55.775453,,,64,17.07,0,6451-10,Hospital Campo Limpo,Getúlio Vargas B/C,,,,,,,1,0.975,1.0,,,11.3932,1.0,0.991667
R002,rota,"Qual é a rota de ônibus mais rápida da Praça da Sé até a Rua Alvarenga, 1000, no Butantã?","A rota de ônibus mais rápida da Praça da Sé até a Rua Alvarenga, 1000, no Butantã é a seguinte:

1. **Caminhada até o Pateo do Colégio**:
   - Distância: 0.3 km
   - Duração: 4 minutos

2. **Ônibus**:
   - Linha: **508L-10 - Circular Terminal Princesa Isabel / Paulista / Aclimação / Sé**
   - Direção: Terminal Princesa Isabel
   - Ponto de partida: Pateo do Colegio 
   - Ponto de chegada: Av. São João, 588
   - Horário de saída: 8:57 AM
   - Horário de chegada: 9:04 AM
   - Distância: 1.7 km
   - Duração: 8 minutos

3. **Ônibus**:
   - Linha: **7545-10 - Jardim João XXIII / Praça Ramos de Azevedo**
   - Direção: Jardim João XXIII
   - Ponto de partida: Av. São João, 588 
   - Ponto de chegada: Rua Reação, 300
   - Horário de saída: 9:11 AM
   - Horário de chegada: 9:35 AM
   - Distância: 8.4 km
   - Duração: 24 minutos

4. **Caminhada até a Rua Alvarenga, 1000**:
   - Distância: 0.1 km
   - Duração: 2 minutos

A duração total da viagem é de aproximadamente 45 minutos. Se precisar de mais informações ou de outra rota, estou à disposição!",multiagente,12.2115,consultar_rota,consultar_rota,,2026-06-30T08:47:07.991762,2026-06-30T08:47:20.204175,rota,,,,,,,2026-06-30T08:47:07.168615,2026-06-30T08:47:07.991762,,,45,10.58,1,508L-10|7545-10,"Pateo do Colegio|Av. São João, 588","Av. São João, 588|Rua Reação, 300",,,,,,,1,0.95,0.8,,,12.2124,1.0,0.916667
R003,rota,"Como ir de ônibus, com menos caminhada, do Terminal Parque Dom Pedro II até o Largo da Batata, em Pinheiros?","Para ir de ônibus do Terminal Parque Dom Pedro II até o Largo da Batata, em Pinheiros, com menos caminhada, siga as instruções abaixo:

1. **Caminhada até o Terminal Parque Dom Pedro II**:
   - Distância: 0.2 km
   - Duração: 3 minutos

2. **Ônibus**:
   - Linha: **909T-10 - Terminal Pinheiros / Terminal Parque Dom Pedro II via Consolação**
   - Direção: Terminal Pinheiros
   - Ponto de partida: Terminal Parque Dom Pedro II 
   - Ponto de chegada: Rua Baltazar Carrasco, 176 - Parada Faria Lima
   - Horário de saída: 8:57 AM
   - Horário de chegada: 9:49 AM
   - Distância: 9.6 km
   - Duração: 53 minutos

3. **Caminhada até o Largo da Batata**:
   - Distância: 0.2 km
   - Duração: 4 minutos

A duração total da viagem será de aproximadamente 1 hora. Se precisar de mais informações ou ajuda, estou à disposição!",multiagente,9.9132,consultar_rota,consultar_rota,,2026-06-30T08:47:20.740220,2026-06-30T08:47:30.651502,rota,,,,,,,2026-06-30T08:47:20.208160,2026-06-30T08:47:20.740220,,,60,10.04,0,909T-10,Terminal Parque Dom Pedro II,"Rua Baltazar Carrasco, 176 - Parada Faria Lima",,,,,,,1,0.875,1.0,,,9.9113,1.0,0.958333
R004,rota,"Qual rota de ônibus mais rápida sai do MASP, na Avenida Paulista, até o Shopping Morumbi?","A rota de ônibus mais rápida do MASP, na Avenida Paulista, até o Shopping Morumbi é a seguinte:

1. **Caminhada até o ponto de ônibus Getúlio Vargas C/B 1**:
   - Distância: 0.4 km
   - Duração: 5 minutos

2. **Ônibus**:
   - Linha: **6505-10 - Terminal Guarapiranga / Terminal Bandeira**
   - Direção: Terminal Guarapiranga
   - Ponto de partida: Getúlio Vargas C/B 1 
   - Ponto de chegada: Roque Petroni Júnior C/B 1
   - Horário de saída: 8:55 AM
   - Horário de chegada: 9:19 AM
   - Distância: 8.4 km
   - Duração: 24 minutos

3. **Caminhada até a Estação de Transferência Santo Amaro/Brooklin**:
   - Distância: 0.1 km
   - Duração: 1 minuto

4. **Ônibus**:
   - Linha: **607C-10 - Jardim Miriam / Itaim Bibi**
   - Direção: Itaim Bibi
   - Ponto de partida: Estação de Transferência Santo Amaro/Brooklin
   - Ponto de chegada: Morumbi Shopping B/C
   - Horário de saída: 9:24 AM
   - Horário de chegada: 9:29 AM
   - Distância: 1.1 km
   - Duração: 4 minutos

5. **Caminhada até o Shopping Morumbi**:
   - Distância: 0.3 km
   - Duração: 5 minutos

A duração total da viagem é de aproximadamente 44 minutos. Se precisar de mais informações ou ajuda adicional, estou à disposição!",multiagente,12.3611,consultar_rota,consultar_rota,,2026-06-30T08:47:31.429994,2026-06-30T08:47:43.791298,rota,,,,,,,2026-06-30T08:47:30.651502,2026-06-30T08:47:31.429994,,,44,10.23,1,6505-10|607C-10,Getúlio Vargas C/B 1|Estação de Transferência Santo Amaro/Brooklin,Roque Petroni Júnior C/B 1|Morumbi Shopping B/C,,,,,,,1,0.75,1.0,,,12.3613,1.0,0.916667
R005,rota,Como ir de ônibus do Terminal Bandeira até o Hospital das Clínicas da FMUSP?,"Para ir de ônibus do Terminal Bandeira até o Hospital das Clínicas da FMUSP, siga estas instruções:

1. **Caminhada até o ponto da Rua Cel. Xavier de Toledo, 295 (Ponto Final da Linha 7545)**:
   - Distância: 0.4 km
   - Duração: 6 minutos

2. **Ônibus**:
   - Linha: **7545-10 - Jardim João XXIII / Praça Ramos de Azevedo**
   - Direção: Jardim João XXIII
   - Ponto de partida: Rua Cel. Xavier de Toledo, 295
   - Ponto de chegada: Clínicas C/B
   - Horário de saída: 8:58 AM
   - Horário de chegada: 9:10 AM
   - Distância: 4.3 km
   - Duração: 12 minutos

3. **Caminhada até o Hospital das Clínicas**:
   - Endereço: R. Dr. Ovídio Pires de Campos, 225 - Cerqueira César
   - Distância: 0.3 km
   - Duração: 5 minutos

A duração total da viagem será de aproximadamente 24 minutos. Se precisar de mais informações ou ajuda, não hesite em perguntar!",multiagente,10.177,consultar_rota,consultar_rota,,2026-06-30T08:47:44.580214,2026-06-30T08:47:54.750011,rota,,,,,,,2026-06-30T08:47:43.791298,2026-06-30T08:47:44.580214,,,24,5.04,0,7545-10,"Rua Cel. Xavier de Toledo, 295 - Ponto Final da Linha 7545",Clínicas C/B,,,,,,,1,0.95,1.0,,,10.1698,1.0,0.983333
R006,rota,Me mostre a rota de ônibus mais rápida do Terminal Jabaquara até o Terminal Parque Dom Pedro II.,"A rota de ônibus mais rápida do Terminal Jabaquara até o Terminal Parque Dom Pedro II é a seguinte:

1. **Caminhada até o ponto da Av. Eng. Armando de Arruda Pereira, 1897 (Parada Metrô Jabaquara)**:
   - Distância: 0.2 km
   - Duração: 1 minuto

2. **Ônibus**:
   - Linha: **175T-10 - Santana / Jabaquara**
   - Direção: Santana
   - Ponto de partida: Av. Eng. Armando de Arruda Pereira, 1897
   - Ponto de chegada: Av. 23 de Maio, Km 4,3 B/C - Parada Tutoia
   - Horário de saída: 8:48 AM
   - Horário de chegada: 9:25 AM
   - Distância: 11.5 km
   - Duração: 36 minutos

3. **Ônibus**:
   - Linha: **5300-10 - Terminal Santo Amaro / Terminal Parque Dom Pedro II via Ibirapuera**
   - Direção: Terminal Parque Dom Pedro II
   - Ponto de partida: Av. 23 de Maio, Km 4,3 B/C - Parada Tutoia
   - Ponto de chegada: Rua Dr. Bittencourt Rodrigues, 380 - Praça Fernando Costa
   - Horário de saída: 9:30 AM
   - Horário de chegada: 9:45 AM
   - Distância: 5.0 km
   - Duração: 16 minutos

4. **Caminhada até o Terminal Parque Dom Pedro II**:
   - Distância: 0.3 km
   - Duração: 4 minutos

A duração total da viagem é de aproximadamente 1 hora. Se precisar de mais informações ou ajuda com outra rota, estou à disposição!",multiagente,12.655,consultar_rota,consultar_rota,,2026-06-30T08:47:55.631811,2026-06-30T08:48:08.291167,rota,,,,,,,2026-06-30T08:47:54.750011,2026-06-30T08:47:55.631811,,,60,16.92,1,175T-10|5300-10,"Av. Eng. Armando de Arruda Pereira, 1897 - Parada Metrô Jabaquara|Av. 23 de Maio, Km 4,3 B/C - Parada Tutoia","Av. 23 de Maio, Km 4,3 B/C - Parada Tutoia|Rua Dr. Bittencourt Rodrigues, 380 - Praça Fernando Costa",,,,,,,1,0.875,1.0,,,12.6594,1.0,0.958333
R007,rota,"Como ir de ônibus do Terminal Tatuapé até o MASP, na Avenida Paulista?","Para ir de ônibus do Terminal Tatuapé até o MASP, na Avenida Paulista, siga estas instruções:

1. **Caminhada até o ponto da Rua Melo Freire, 355 (Parada Metrô Tatuapé B/C)**:
   - Distância: 58 m
   - Duração: 1 minuto

2. **Ônibus**:
   - Linha: **4315-10 - Terminal Vila Carrão / Terminal Parque Dom Pedro II via Aricanduva-Radial Leste**
   - Direção: Terminal Parque Dom Pedro II
   - Ponto de partida: Rua Melo Freire, 355 - Parada Metrô Tatuapé B/C
   - Ponto de chegada: Terminal Metrô Belém Sul
   - Horário de saída: 9:06 AM
   - Horário de chegada: 9:10 AM
   - Distância: 1.4 km
   - Duração: 4 minutos

3. **Ônibus**:
   - Linha: **5141-10 - Terminal Sapopemba / Praça do Correio**
   - Direção: Praça do Correio
   - Ponto de partida: Terminal Metrô Belém Sul
   - Ponto de chegada: Av. Mercúrio, Oposto Nº 180
   - Horário de saída: 9:14 AM
   - Horário de chegada: 9:28 AM
   - Distância: 4.9 km
   - Duração: 16 minutos

4. **Ônibus**:
   - Linha: **6403-10 - Terminal João Dias / Terminal Parque Dom Pedro II**
   - Direção: Terminal João Dias
   - Ponto de partida: Av. Mercúrio, Oposto Nº 180
   - Ponto de chegada: Getúlio Vargas C/B 1
   - Horário de saída: 9:33 AM
   - Horário de chegada: 9:45 AM
   - Distância: 4.3 km
   - Duração: 12 minutos

5. **Caminhada até o MASP**:
   - Endereço: Av. Paulista, 1578 - Bela Vista
   - Distância: 0.4 km
   - Duração: 7 minutos

A duração total da viagem será de aproximadamente 46 minutos. Se precisar de mais informações ou ajuda, estou à disposição!",multiagente,19.3652,consultar_rota,consultar_rota,,2026-06-30T08:48:09.270002,2026-06-30T08:48:28.641687,rota,,,,,,,2026-06-30T08:48:08.291167,2026-06-30T08:48:09.270002,,,63,12.77,2,3053-10|5141-10|6403-10,"Rua Guandu, 8|Av. Álvaro Ramos, 1917|Av. Mercúrio, Oposto Nº 180","Av. Álvaro Ramos, 1917|Av. Mercúrio, Oposto Nº 180|Getúlio Vargas C/B 1",,,,,,,1,0.8767,1.0,,,19.3717,1.0,0.958900
R008,rota,Qual trajeto de ônibus faço do Terminal Santo Amaro até o Portão 3 do Parque Ibirapuera?,"Para ir de ônibus do Terminal Santo Amaro até o Portão 3 do Parque Ibirapuera, siga estas instruções:

1. **Caminhada até o Terminal Santo Amaro**:
   - Distância: 0.3 km
   - Duração: 5 minutos

2. **Ônibus**:
   - Linha: **5300-10 - Terminal Santo Amaro / Terminal Parque Dom Pedro II via Ibirapuera**
   - Direção: Terminal Parque Dom Pedro II
   - Ponto de partida: Terminal Santo Amaro
   - Ponto de chegada: Moema B/C
   - Horário de saída: 9:00 AM
   - Horário de chegada: 9:24 AM
   - Distância: 7.9 km
   - Duração: 25 minutos

3. **Caminhada até o ponto da Av. Moema, 81**:
   - Distância: 0.1 km
   - Duração: 2 minutos

4. **Ônibus**:
   - Linha: **509J-10 - Jardim Selma / Parque Ibirapuera**
   - Direção: Parque Ibirapuera
   - Ponto de partida: Av. Moema, 81
   - Ponto de chegada: Av. República do Líbano, 705
   - Horário de saída: 9:32 AM
   - Horário de chegada: 9:40 AM
   - Distância: 2.2 km
   - Duração: 8 minutos

5. **Caminhada até o Portão 3 do Parque Ibirapuera**:
   - Endereço: Av. Pedro Álvares Cabral, s/n - Vila Mariana
   - Distância: 0.1 km
   - Duração: 2 minutos

A duração total da viagem é de aproximadamente 48 minutos. Se precisar de mais informações ou ajudas, estou à disposição!",multiagente,13.6387,consultar_rota,consultar_rota,,2026-06-30T08:48:29.333353,2026-06-30T08:48:42.962744,rota,,,,,,,2026-06-30T08:48:28.646905,2026-06-30T08:48:29.333353,,,48,10.62,1,5300-10|509J-10,"Terminal Santo Amaro|Av. Moema, 81","Moema B/C|Av. República do Líbano, 705",,,,,,,1,0.975,1.0,,,13.6294,1.0,0.991667
R009,rota,"Como chegar de ônibus do Mercado Municipal da Lapa até a Rua Domingos de Morais, 1000, na Vila Mariana?","Para ir de ônibus do Mercado Municipal da Lapa até a Rua Domingos de Morais, 1000, na Vila Mariana, siga estas instruções:

1. **Caminhada até o ponto da Rua Joaquim Machado, 212 (Ponto Inicial da Linha 7281)**:
   - Distância: 0.3 km
   - Duração: 5 minutos

2. **Ônibus**:
   - Linha: **7281-10 - Lapa / Praça Ramos de Azevedo**
   - Direção: Praça Ramos de Azevedo
   - Ponto de partida: Rua Joaquim Machado, 212
   - Ponto de chegada: Paulista B/C
   - Horário de saída: 8:55 AM
   - Horário de chegada: 9:19 AM
   - Distância: 7.5 km
   - Duração: 24 minutos

3. **Caminhada até o ponto da Av. Paulista, 2319**:
   - Distância: 0.2 km
   - Duração: 3 minutos

4. **Ônibus**:
   - Linha: **875A-10 - Aeroporto / Perdizes**
   - Direção: Aeroporto
   - Ponto de partida: Av. Paulista, 2319
   - Ponto de chegada: Rua Vergueiro, 2740
   - Horário de saída: 9:26 AM
   - Horário de chegada: 9:42 AM
   - Distância: 4.2 km
   - Duração: 16 minutos

5. **Caminhada até a Rua Domingos de Morais, 1000**:
   - Distância: 0.2 km
   - Duração: 3 minutos

A duração total da viagem será de aproximadamente 55 minutos. Se precisar de mais informações ou ajuda, estarei à disposição!",multiagente,16.5436,consultar_rota,consultar_rota,,2026-06-30T08:48:43.705427,2026-06-30T08:49:00.254423,rota,,,,,,,2026-06-30T08:48:42.976685,2026-06-30T08:48:43.705427,,,55,12.49,1,7281-10|875A-10,"Rua Joaquim Machado, 212 - Ponto Inicial da Linha 7281|Av. Paulista, 2319","Paulista B/C|Rua Vergueiro, 2740",,,,,,,1,0.975,1.0,,,16.549,1.0,0.991667
R010,rota,Qual rota de ônibus faço do Terminal Santo Amaro até o Shopping SP Market?,"Para ir de ônibus do Terminal Santo Amaro até o Shopping SP Market, siga estas instruções:

1. **Caminhada até o ponto de ônibus no Terminal Santo Amaro**:
   - Distância: 33 m
   - Duração: 1 minuto

2. **Ônibus**:
   - Linha: **6091-10 - Vargem Grande / Terminal Santo Amaro**
   - Direção: Vargem Grande
   - Ponto de partida: Terminal Santo Amaro
   - Ponto de chegada: Av. das Nações Unidas, 22462
   - Horário de saída: 8:51 AM
   - Horário de chegada: 9:06 AM
   - Distância: 5.7 km
   - Duração: 15 minutos

3. **Caminhada até o Shopping SP Market**:
   - Endereço: Av. das Nações Unidas, 22540 - Jurubatuba
   - Distância: 0.4 km
   - Duração: 1 minuto

A duração total da viagem será de aproximadamente 17 minutos. Se precisar de mais informações ou ajuda, estou à disposição!",multiagente,11.8736,consultar_rota,consultar_rota,,2026-06-30T08:49:01.043600,2026-06-30T08:49:12.917376,rota,,,,,,,2026-06-30T08:49:00.254423,2026-06-30T08:49:01.043600,,,20,6.34,0,6091-10,Terminal Santo Amaro,"Av. das Nações Unidas, 22462",,,,,,,1,1.0,1.0,,,11.8738,1.0,1.000000
